Group,Excellent ratio,Good ratio,Pass ratio,Fail ratio
0,0.14102617859972552,0.13437384207031916,0.6805911888672401,0.044008790462715185
1,0.18367111145204285,0.3186991157819516,0.37467340244760394,0.12295637031840165
2,0.1267212127721184,0.24066163547282077,0.42001081063186557,0.2126063411231953
3,0.21991678921850244,0.25555635439038693,0.37818894199349706,0.14633791439761354
4,0.20372736227354776,0.23523394511949858,0.34647049503872296,0.2145681975682307
5,0.17720217527632198,0.26543625775920054,0.4216949418096836,0.1356666251547939
6,0.11322565452541436,0.2496320179635655,0.5011469221196213,0.13599540539139893
7,0.17812614542023728,0.3371133654420614,0.3230526469654625,0.1617078421722389
8,0.20446458811378196,0.29034301619873376,0.40905196612514005,0.09614042956234428
9,0.15076013962018178,0.21056942658051703,0.4985013230630914,0.14016911073620975
10,0.21731561603356228,0.4077459934335783,0.26184197756788974,0.11309641296496979
11,0.1432095902874733,0.29451869429834987,0.42974291607292875,0.13252879934124814
12,0.19135657807346043,0.3049115051974073,0.43425649586698356,0.06947542086214882
13,0.1765370861674537,0.3373867128319194,0.3932898355993125,0.09278636540131428
14,0.17625373248227044,0.19031644774364992,0.5892063814225733,0.04422343835150635
15,0.18246140262659302,0.22930071567855823,0.49508036012556195,0.09315752156928682
16,0.08469214972314355,0.12236982112216407,0.754092003070303,0.03884602608438942
17,0.1471355027821503,0.21722090243349543,0.5233792766198629,0.11226431816449141
18,0.18887855518459062,0.25238456567379897,0.47517632841351637,0.08356055072809405
19,0.14913272588818627,0.2626091655660711,0.454926636295381,0.13333147225036174
20,0.11543015256505526,0.17813227511808782,0.6497956026215401,0.05664196969531673
21,0.1832616333211637,0.26674042084713667,0.45265391505638614,0.09734403077531349
22,0.10861557126950407,0.16400540780428685,0.6904177377161559,0.03696128321005318
23,0.17485609886295134,0.3171803444109686,0.40675826858149433,0.10120528814458582
24,0.0769598557560832,0.1013597026196129,0.7848415550169229,0.036838886607380966
25,0.17241102197282032,0.2566840117830018,0.45097034500984423,0.11993462123433371
26,0.08215203015097834,0.13757359132566663,0.7154540135263276,0.06482036499702751
27,0.209457751985339,0.26908480237996274,0.4399824945743994,0.08147495106029871
28,0.08754056852944775,0.24754690221636927,0.5380669949539673,0.12684553430021583
29,0.1663017458606925,0.29369969198060664,0.38389768203612684,0.15610088012257414
30,0.2012309045895626,0.25944742918612584,0.48048366096772593,0.05883800525658554
31,0.189698386585074,0.3017023795006341,0.4243815532183373,0.08421768069595455
32,0.160097097445181,0.21836755835495886,0.5520818554872161,0.06945348871264416
33,0.1651870755606945,0.2348269804840493,0.524315468072615,0.07567047588264128
34,0.10238601050209314,0.13475271178794812,0.7134902191048836,0.049371058605075124
35,0.18483177522742308,0.2938380744646423,0.3882840508828709,0.13304609942506374
36,0.0718058016433442,0.23524692471807185,0.3073386334089846,0.38560864022959923
37,0.16014718307362874,0.2670082227032111,0.4591502829910342,0.11369431123212599
38,0.11045052820157521,0.21453676786818485,0.5792372147297259,0.09577548920051399
39,0.18227342948314146,0.25934451858514757,0.44501965869519716,0.11336239323651376
40,0.10455243403321104,0.36382755213944634,0.4089629917146827,0.12265702211265993
41,0.1882411317234108,0.28283192227710063,0.36026627430126806,0.1686606716982205
42,0.14747323397681986,0.2069789462668513,0.5154132949456853,0.13013452481064358
43,0.1804888507469952,0.22116899542755095,0.48598362221557284,0.11235853160988088
44,0.08775644006253516,0.16762098198196437,0.6698303907890345,0.07479218716646592
45,0.18469690505427644,0.3408653815898088,0.37171457472035957,0.10272313863555527
